,0
label,0.6896551724137931
lat,0.007662835249042145
lon,0.007662835249042145
ontology,0.0038314176245210726
ele,0.0019157088122605363
label/lat,0.7011494252873564
label/lon,0.6992337164750958
label/ontology,0.9846743295019157
label/ele,0.6896551724137931
lat/lon,0.019157088122605363
lat/ontology,0.009578544061302681
lat/ele,0.007662835249042145
lon/ontology,0.007662835249042145
lon/ele,0.007662835249042145
ontology/ele,0.0038314176245210726
label/lat/lon,0.7030651340996169
label/lat/ontology,0.9923371647509579
label/lat/ele,0.7011494252873564
label/lon/ontology,0.9923371647509579
label/lon/ele,0.6992337164750958
label/ontology/ele,0.9846743295019157
lat/lon/ontology,0.03065134099616858
lat/lon/ele,0.019157088122605363
lat/ontology/ele,0.009578544061302681
lon/ontology/ele,0.007662835249042145
