,0
label,0.984251968503937
lat,0.08070866141732283
lon,0.05708661417322835
ontology,0.24803149606299213
ele,0.045275590551181105
label/lat,0.9940944881889764
label/lon,0.9901574803149606
label/ontology,0.984251968503937
label/ele,0.984251968503937
lat/lon,0.1220472440944882
lat/ontology,0.3051181102362205
lat/ele,0.08267716535433071
lon/ontology,0.2755905511811024
lon/ele,0.05708661417322835
ontology/ele,0.24803149606299213
label/lat/lon,0.9960629921259843
label/lat/ontology,0.9980314960629921
label/lat/ele,0.9940944881889764
label/lon/ontology,0.9940944881889764
label/lon/ele,0.9901574803149606
label/ontology/ele,0.984251968503937
lat/lon/ontology,0.33858267716535434
lat/lon/ele,0.12401574803149606
lat/ontology/ele,0.3051181102362205
lon/ontology/ele,0.2736220472440945
